0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
2.71,2.71,2.71
2.71,2.71,2.71
10.23,10.23,10.23
17.75,17.75,17.75
17.75,17.75,17.75
25.27,25.27,25.27
17.75,17.75,17.75
17.75,17.75,17.75
17.75,17.75,17.75
17.75,17.75,17.75
17.75,17.75,17.75
10.23,10.23,10.23
10.23,10.23,10.23
10.23,10.23,10.23
10.23,10.23,10.23
10.23,10.23,10.23
17.75,17.75,17.75
10.23,10.23,10.23
17.75,17.75,17.75
17.75,17.75,17.75
17.75,17.75,17.75
25.27,25.27,25.27
32.79,32.79,32.79
32.79,32.79,32.79
32.79,32.79,32.79
32.79,32.79,32.79
32.79,32.79,32.79
32.79,32.79,32.79
32.79,32.79,32.79
32.79,32.79,32.79
25.27,25.27,25.27
25.27,25.27,25.27
17.75,17.75,17.75
17.75,17.75,17.75
17.75,17.75,17.75
25.27,25.27,25.27
17.75,17.75,17.75
17.75,17.75,17.75
17.75,17.75,17.75
17.75,17.75,17.75
17.75,17.75,17.75
17.75,17.75,17.75
17.75,17.75,17.75
17.75,17.75,17.75
17.75,17.75,17.75
17.75,17.75,17.75
17.75,17.75,17.75
17.75,17.75,17.75
17.75,17.75,17.75
17.75,17.75,17.75
25.27,25.27,25.27
25.27,25.27,25.27
25.27,25.27,25.27
25.27,25.27,25.27
25.27,25.27,25.27
25.27,25.27,25.27
25.27,25.27,25.27
25.27,25.27,25.27
32.79,32.79,32.79
32.79,32.79,32.79
25.27,25.27,25.27
25.27,25.27,25.27
25.27,25.27,25.27
25.27,25.27,25.27
25.27,25.27,25.27
17.75,17.75,17.75
17.75,17.75,17.75
25.27,25.27,25.27
25.27,25.27,25.27
25.27,25.27,25.27
25.27,25.27,25.27
32.79,32.79,32.79
32.79,32.79,32.79
32.79,32.79,32.79
32.79,32.79,32.79
32.79,32.79,32.79
32.79,32.79,32.79
25.27,25.27,25.27
25.27,25.27,25.27
25.27,25.27,25.27
25.27,25.27,25.27
25.27,25.27,25.27
25.27,25.27,25.27
17.75,17.75,17.75
25.27,25.27,25.27
17.75,17.75,17.75
17.75,17.75,17.75
17.75,17.75,17.75
17.75,17.75,17.75
17.75,17.75,17.75
